# Number ot time steps:316 N. contractions:90 N. expansions:224
#   t    y   Estimated error=7.13038e-05
# hmin:-0.0776998 hmax:0.925314
0 1
0.925314 0
0.856205 0
0.778506 0
0.706648 0
0.639939 0
0.578133 0
0.520978 0
0.468231 0
0.419652 0
0.375011 0
0.334084 0
0.296654 0
0.262512 0
0.231453 0
0.203281 0
0.177807 0
0.154848 0
0.134228 0
0.115777 0
0.0993342 0
0.0847424 0
0.071853 0
0.0605238 0
0.0506191 0
0.04201 0
0.0345739 0
0.028195 0
0.0227641 0
0.0181782 0
0.0143412 0
0.0111628 0
0.00855955 0
0.00645404 0
0.0047751 0
0.00345771 0
0.00244286 0
0.0016775 0
0.00111437 0
0.000711906 0
0.000434049 0
0.000250073 0
0.000134352 0
6.60929e-05 0
2.90089e-05 0
1.09291e-05 0
3.3216e-06 0
7.23807e-07 0
7.57258e-08 0
-1.3872e-08 0
5.10924e-08 0
-1.21244e-07 0
1.36313e-07 0
-1.53255e-07 0
1.3608e-07 0
-1.2083e-07 0
1.7743e-07 0
-1.26088e-07 0
8.96028e-08 0
-1.49776e-07 0
1.26921e-07 0
-1.07554e-07 0
1.74129e-07 0
-1.24248e-07 0
8.86554e-08 0
-1.50976e-07 0
1.26306e-07 0
-1.05668e-07 0
1.72462e-07 0
-1.24291e-07 0
8.95748e-08 0
-1.52274e-07 0
1.26165e-07 0
-1.04532e-07 0
1.71081e-07 0
-1.24419e-07 0
9.04842e-08 0
-1.53432e-07 0
1.26061e-07 0
-1.03573e-07 0
1.69884e-07 0
-1.24535e-07 0
9.12912e-08 0
-1.54453e-07 0
1.2597e-07 0
-1.0274e-07 0
1.68843e-07 0
-1.24635e-07 0
9.2002e-08 0
-1.55351e-07 0
1.2589e-07 0
-1.02017e-07 0
1.67938e-07 0
-1.24722e-07 0
9.26272e-08 0
-1.5614e-07 0
1.2582e-07 0
-1.01387e-07 0
1.6715e-07 0
-1.24798e-07 0
9.31767e-08 0
-1.56833e-07 0
1.25757e-07 0
-1.00839e-07 0
1.66463e-07 0
-1.24863e-07 0
9.36594e-08 0
-1.57442e-07 0
1.25702e-07 0
-1.00361e-07 0
1.65864e-07 0
-1.2492e-07 0
9.40832e-08 0
-1.57976e-07 0
1.25654e-07 0
-9.99445e-08 0
1.65342e-07 0
-1.2497e-07 0
9.4455e-08 0
-1.58444e-07 0
1.25611e-07 0
-9.95814e-08 0
1.64887e-07 0
-1.25013e-07 0
9.47811e-08 0
-1.58855e-07 0
1.25573e-07 0
-9.92647e-08 0
1.6449e-07 0
-1.2505e-07 0
9.5067e-08 0
-1.59215e-07 0
1.2554e-07 0
-9.89883e-08 0
1.64143e-07 0
-1.25083e-07 0
9.53175e-08 0
-1.5953e-07 0
1.25512e-07 0
-9.87471e-08 0
1.6384e-07 0
-1.25111e-07 0
9.55371e-08 0
-1.59807e-07 0
1.25486e-07 0
-9.85365e-08 0
1.63576e-07 0
-1.25136e-07 0
9.57294e-08 0
-1.60049e-07 0
1.25464e-07 0
-9.83526e-08 0
1.63345e-07 0
-1.25158e-07 0
9.58978e-08 0
-1.6026e-07 0
1.25444e-07 0
-9.8192e-08 0
1.63143e-07 0
-1.25177e-07 0
9.60453e-08 0
-1.60446e-07 0
1.25427e-07 0
-9.80517e-08 0
1.62967e-07 0
-1.25193e-07 0
9.61745e-08 0
-1.60608e-07 0
1.25412e-07 0
-9.79291e-08 0
1.62813e-07 0
-1.25207e-07 0
9.62875e-08 0
-1.60751e-07 0
1.25399e-07 0
-9.7822e-08 0
1.62679e-07 0
-1.2522e-07 0
9.63864e-08 0
-1.60875e-07 0
1.25388e-07 0
-9.77285e-08 0
1.62561e-07 0
-1.25231e-07 0
9.6473e-08 0
-1.60984e-07 0
1.25378e-07 0
-9.76467e-08 0
1.62459e-07 0
-1.25241e-07 0
9.65488e-08 0
-1.61079e-07 0
1.25369e-07 0
-9.75752e-08 0
1.62369e-07 0
-1.25249e-07 0
9.66151e-08 0
-1.61162e-07 0
1.25361e-07 0
-9.75127e-08 0
1.6229e-07 0
-1.25256e-07 0
9.66731e-08 0
-1.61235e-07 0
1.25354e-07 0
-9.74581e-08 0
1.62222e-07 0
-1.25263e-07 0
9.67239e-08 0
-1.61299e-07 0
1.25348e-07 0
-9.74104e-08 0
1.62162e-07 0
-1.25268e-07 0
9.67683e-08 0
-1.61355e-07 0
1.25343e-07 0
-9.73686e-08 0
1.62109e-07 0
-1.25273e-07 0
9.68071e-08 0
-1.61404e-07 0
1.25339e-07 0
-9.73322e-08 0
1.62064e-07 0
-1.25277e-07 0
9.68411e-08 0
-1.61446e-07 0
1.25335e-07 0
-9.73003e-08 0
1.62024e-07 0
-1.25281e-07 0
9.68708e-08 0
-1.61484e-07 0
1.25331e-07 0
-9.72724e-08 0
1.61988e-07 0
-1.25284e-07 0
9.68968e-08 0
-1.61517e-07 0
1.25328e-07 0
-9.7248e-08 0
1.61958e-07 0
-1.25287e-07 0
9.69195e-08 0
-1.61545e-07 0
1.25326e-07 0
-9.72267e-08 0
1.61931e-07 0
-1.2529e-07 0
9.69394e-08 0
-1.6157e-07 0
1.25323e-07 0
-9.7208e-08 0
1.61908e-07 0
-1.25292e-07 0
9.69568e-08 0
-1.61592e-07 0
1.25321e-07 0
-9.71917e-08 0
1.61887e-07 0
-1.25294e-07 0
9.69721e-08 0
-1.61611e-07 0
1.25319e-07 0
-9.71775e-08 0
1.61869e-07 0
-1.25295e-07 0
9.69854e-08 0
-1.61628e-07 0
1.25318e-07 0
-9.7165e-08 0
1.61854e-07 0
-1.25297e-07 0
9.6997e-08 0
-1.61642e-07 0
1.25317e-07 0
-9.71541e-08 0
1.6184e-07 0
-1.25298e-07 0
9.70072e-08 0
-1.61655e-07 0
1.25315e-07 0
-9.71446e-08 0
1.61828e-07 0
-1.25299e-07 0
9.70161e-08 0
-1.61666e-07 0
1.25314e-07 0
-9.71362e-08 0
1.61817e-07 0
-1.253e-07 0
9.70239e-08 0
-1.61676e-07 0
1.25313e-07 0
-9.71289e-08 0
1.61808e-07 0
-1.25301e-07 0
9.70307e-08 0
-1.61685e-07 0
1.25313e-07 0
-9.71226e-08 0
1.618e-07 0
-1.25302e-07 0
9.70366e-08 0
-1.61692e-07 0
1.25312e-07 0
-9.7117e-08 0
1.61793e-07 0
-1.25302e-07 0
9.70418e-08 0
-1.61699e-07 0
1.25311e-07 0
-9.71121e-08 0
1.61787e-07 0
4.08928e-08 0
